location,style,claim_text,numeric_tokens,risk_tags,evidence_grade,decision,replacement
paragraph:20,Normal,传统的产业统计方法主要依赖国民经济行业分类代码进行产业归属判定。该方法起源于20世纪中叶的标准化统计需求，在单一经营时代具有高效、标准化的优势。Porter（1990）在《国家竞争优势》中系统论述了产业集聚与竞争优势的分析框架，其基于标准行业分类数据的产业集群分析方法至今仍被广泛采用。,20;1990,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:21,Normal,Bresnahan和Gambardella（2004）进一步指出，在产业边界清晰时，基于行业代码的分类方法能够较好地反映产业结构的现实。然而，随着产业融合和跨界经营的兴起，其局限性日益凸显。,2004,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:22,Normal,在国内体育产业统计领域，林显鹏（2000a）较早地对建立我国体育产业统计指标体系进行了系统研究，提出了包含总量指标和结构指标的体育产业统计框架，并比较分析了澳大利亚、美国、加拿大等国的体育产业统计方法，为我国体育产业统计奠定了方法论基础[12]。林显鹏（2000b）进一步指出，西方发达国家普遍采用“总量指标+结构指标”的复合统计框架，但同样面临体育产业边界界定和新兴业态统计归属的挑战[13]。,2000;12;2000;13,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:23,Normal,国家统计局（2018）发布的《战略性新兴产业分类（2018）》采用“行业代码+产品/服务”的复合分类方式，体现了对新兴产业统计分类方法的创新探索。文化产业等新兴领域的统计实践同样表明，传统行业代码分类方法在识别跨界经营企业方面存在明显不足，亟需引入文本分析等新技术手段加以改进。,2018;2018,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:24,Heading 3,1.2.2 NLP在产业识别中的应用,1.2;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:25,Normal,近年来，自然语言处理（NLP）技术在产业识别领域展现出强大潜力。Gentzkow等（2019）在Journal of Economic Literature发表的经典论文系统阐述了“文本即数据（Text as Data）”的方法论框架，利用文本分析方法从企业年报中提取产业特征，发现文本分析方法能够从非结构化的企业披露信息中提取出传统分类法难以捕捉的产业特征信号，为经济学和管理学的文本分析研究奠定了方法基础。,2019,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:26,Normal,在基于文本的行业分类技术方面，Tagarev等（2019）系统比较了深度学习和经典向量空间模型在企业行业分类任务上的表现，验证了机器学习方法在产业识别中的有效性；Jagrič和Herman（2024）基于BERT预训练模型对企业业务描述文本进行多类别行业分类，在13个行业类别上取得了88.23%的整体精确率和0.88的F1分数，证明了预训练语言模型在企业业务文本分类中的实用价值；Borchert等（2024）提出了面向商业领域的预训练语言模型BusinessBERT，将行业分类作为额外的预训练目标，在商业文本分类基准测试上取得了3.90%的显著提升。,2019;2024;13;88.23%;0.88;2024;3.90%,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:27,Normal,在中文文本处理领域，Sun等（2019）在CCL会议上系统研究了BERT在文本分类任务中的微调方法，为预训练语言模型在中文领域文本分类中的应用提供了重要参考。,2019,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:29,Heading 3,1.2.3 体育产业统计的特殊挑战,1.2;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:30,Normal,体育产业具有业态多样、跨界频繁、新兴业态不断涌现的独特特点。林显鹏（2000a）在对国内外体育产业统计体系的比较研究中指出，体育产业与旅游、文化、教育、健康等相关产业的边界日益模糊，传统行业分类标准难以完整覆盖体育产业的实际业态范围[12]。,2000;12,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:37,Heading 3,1.2.4 现有研究不足,1.2;4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:39,Normal,（1）数据层面：缺乏大规模真实数据的全样本验证与冷启动方案。,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:42,Normal,（2）模型层面：行业代码结构性约束与NLP语义分析的系统融合机制缺失。,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:45,Normal,（3）应用层面：从学术研究到统计实践的“全流程闭环”尚未打通。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:49,Normal,图1-1 系统性研究链路图（数据来源：本研究整理）,1;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:50,Normal,综上，现有研究在数据、模型、应用三个层面均存在系统性不足，亟需新的技术方案进行探索。本文的创新点将在1.4节专门阐述。,1.4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:51,Heading 2,1.3 研究目标与意义,1.3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:53,Normal,（1）方法层——构建能够精准识别多元经营企业体育业务类型与边界的NLP分析模型，改进传统行业代码法在跨界识别和业务量化方面的双重局限；,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:54,Normal,（2）数据层——设计适用于缺乏营收数据场景的体育业务比重测算方法，实现零财务数据条件下的产业规模连续值估算；,2,output_value,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:55,Normal,（3）应用层——基于大规模实证分析，提出面向统计实践的体系化优化方案与可落地的政策建议。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:57,Normal,（1）创新性地将NLP文本分析技术系统性地引入体育产业统计领域，提出“文本+代码”双通道融合识别的理论框架，改进了传统产业统计方法单一依赖行业代码的范式局限；,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:58,Normal,（2）揭示了新兴业态跨界率的行业差异规律（成熟业态<10% vs 新兴业态>90%），为产业分类标准的动态更新提供了实证依据；,2;10%;90%,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:59,Normal,（3）构建了从“企业级”到“业务线级”的识别粒度跃升路径，丰富了新兴产业统计监测的方法论体系。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:61,Normal,"（1）为地方体育管理部门和统计部门提供了经过76,687家企业全样本数据验证的、可立即部署的技术方案和决策支撑；","1;76,687",,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:62,Normal,（2）提出的“三层融合统计体系”和六项产业政策建议可直接转化为地方标准（DB）和政策实践，具有明确的政策转化价值和可量化的经济效益。,2,economic_benefit,D,rewrite_as_scope,系统具备减少重复统计作业的潜力，实际经济效益需结合部署范围、人员工时和成本台账另行评估。
paragraph:63,Heading 2,1.4 项目创新与特色,1.4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:65,Heading 3,1.4.1 数据层特色：零标注数据冷启动方案,1.4;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:66,Normal,"摒弃对大规模人工标注数据的依赖，仅需构建271词体育产业自定义词典即可在零标注条件下部署运行。词典按9大业态系统分类，支持即时“热更新”（新增业态只需添加词条，无需重训练），处理速度达6,325条/秒，为标注数据匮乏的产业统计场景提供了经济可行的技术路径，弥合了前沿NLP模型与实际应用之间的数据鸿沟。","271;9;6,325",evaluation;performance,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:67,Heading 3,1.4.2 模型层设计：“文本+代码”双通道融合识别框架,1.4;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:68,Normal,将NLP文本分析（语义通道）与GB/T 4754-2017《国民经济行业分类》（国家统计局，2017年修订）行业代码体系（结构通道）进行系统融合，通过四层置信度规则（0.95/0.75/0.70/0.60）实现两者优势互补：文本通道捕捉实际业务内容，代码通道提供结构性先验约束。[1],4754;2017;2017;0.95;0.75;0.70;0.60;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:69,Normal,该框架在跨界发现能力上实现了从0到977家的覆盖（其中纯跨界951家为较为新增发现），解决了单一方法“覆盖不全”或“脱离体系”的固有缺陷，使识别结果既能反映企业实际经营内容，又能与现行统计制度平滑对接。,0;977;951,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:71,Normal,图1-2 双通道融合框架图（数据来源：本研究整理）,1;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:74,Normal,"经76,687家企业实证，共解析出约23万条业务线（平均每家企业约3条），识别粒度从企业级细化至业务线级，约提升2-3个粒度层级，在一定程度上解决了多元经营企业内部业务分离的核心技术难题，为产业规模的比例测算奠定了方法论基础。","76,687;23;3;2;3",output_value,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:75,Heading 3,1.4.3 应用层设计：全流程实证闭环与可交付平台,1.4;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:76,Normal,"基于76,687家真实企业数据，完整验证了从数据获取到政策建议的全流程技术方案，为该领域“理论到实践”的系统性研究提供了新思路。配套开发的全栈Web可视化平台（FastAPI + Vue 3 + ECharts）提供39个RESTful API端点、五大功能页面、三级部署方案（轻量级/标准级/企业级），支持交互式数据下钻、区域筛选、业态对比、置信度过滤和报告自动生成，可直接交付统计部门使用，打通了学术研究向统计实践转化的“落地应用”。","76,687;3;39",,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:77,Normal,图1-3 不足与创新对比图（数据来源：本研究整理）,1;3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:78,Heading 2,1.5 整体技术路线,1.5,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:80,Normal,（1）数据层,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:82,Normal,（2）模型层,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:87,Normal,（3）验证层,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:88,Normal,"基于76,687家全样本企业数据，从覆盖率、业态结构、空间分布和置信度四个维度进行系统实验评估。验证层设置了四组对照实验，系统验证模型的有效性、鲁棒性和实用价值，确保研究结论的科学性和可靠性。","76,687",,A/B,keep,与2026-08-01正式复算快照一致。
paragraph:89,Normal,（4）应用层,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:93,Normal,图1-4  整体技术路线架构图（数据来源：本研究整理）,1;4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:95,Heading 2,2.1 原始数据获取,2.1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:96,Normal,"本文的数据源为赛题提供的标准化企业微观数据库，涵盖76,687家企业，数据采集自某省级行政区域的工商登记系统，具有官方性和权威性。核心字段包括四个维度：","76,687",,A/B,keep,与2026-08-01正式复算快照一致。
paragraph:97,Normal,（1）统一社会信用代码——企业较为独特的标识，18位字符串；,1;18,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:98,Normal,（2）详细名称——含行政区划和组织形式的企业全称；,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:99,Normal,（3）行业代码——GB/T 4754-2017四位数字代码，范围1491至9054；,3;4754;2017;1491;9054,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:100,Normal,（4）主要业务活动——自由文本字段，由企业在工商登记时自行填报，描述企业的主营业务内容。,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:101,Normal,"数据格式为Excel，文件大小约3.7MB。从数据分布特征来看：行业代码覆盖了制造业、批发零售业、服务业、教育业等大部分门类，其中代码7259（其他广告服务，共10,262家）、7481（工程管理服务，共9,170家）、5292（互联网零售，共6,661家）为数量最多的三个行业；主要业务活动字段仅98条缺失（约0.13%），数据完整性极好；文本内容均为中文，单条文本长度集中在4-40个字符之间（均长约15字），以简短精炼的业务短语为主。数据质量评估结果为优，无需大规模缺失值插补。","3.7;7259;10,262;7481;9,170;5292;6,661;98;0.13%;4;40;15",,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:103,Normal,（1）去重处理：基于统一社会信用代码（企业较为独特的标识）进行全字段去重。经检验，数据集中不存在重复记录，原始数据质量较高。,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:104,Normal,（2）缺失值处理：主要业务活动字段存在98条缺失记录（约0.13%）。由于缺失比例极低且该字段为自由文本，采用空字符串填充策略，对整体分析的统计影响可忽略不计（<0.2%）。其他三个字段（信用代码、名称、行业代码）完整性为100%。,2;98;0.13%;0.2%;100%,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:105,Normal,（3）文本标准化：,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:109,Normal,"（4）异常值检测：对行业代码执行范围校验，有效范围为GB/T 4754-2017规定的门类代码区间[1491, 9054]。经扫描，大部分数据均在有效范围内，未发现超出范围或非法的行业代码值。文本字段的异常字符（如控制字符、不可见字符）通过正则表达式过滤清除。",4;4754;2017;1491;9054,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:110,Normal,表2-1 数据清洗执行情况统计,2;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:112,Heading 2,2.2 中文分词与体育词典构建,2.2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:113,Normal,中文分词是NLP文本分析的基础环节。本研究选用jieba分词工具（开源中文分词工具，版本v0.42.1），其基于前缀词典和Viterbi动态规划算法的分词方法在中文文本处理中具有速度快、精确率高的特点，且支持自定义词典扩展[18]。,42.1;18,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:115,Normal,为解决此问题，本研究针对性构建体育产业专业自定义词典，共计收录271 条核心业态词条，并按照体育产业九大细分业态进行系统化归类，有效提升专业术语分词精确率，规避通用分词的语义破碎问题。,271,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:116,Normal,"词典规模确定为271条核心词条，其筛选遵循""覆盖率—精准度—冗余度""三原则：",271,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:117,Normal,（1）以《国家体育产业统计分类（2019）》的9大业态、114个小类为基础框架[2]，确保全面覆盖官方统计口径；,1;2019;9;114;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:118,Normal,"（2）通过对300家人工标注样本的词频统计与交叉验证，剔除在非体育语境中高频出现的歧义词条（如""俱乐部""""运动""等），降低误判风险；",2;300,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:119,Normal,（3）采用专家咨询法进行冗余度筛查，合并同义、近义词条，控制词典规模在保证覆盖率的同时避免过度膨胀。经实证检验，271词的词典规模在精确率（Precision）和召回率（Recall）之间实现了较好平衡。,3;271,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
paragraph:121,Normal,（1）体育赛事（28 词）：涵盖体育赛事、赛事运营、马拉松、电子竞技赛事等业态词条；,1;28,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:122,Normal,（2）健身休闲（36 词）：涵盖健身服务、瑜伽、游泳、户外运动、冰雪运动等业态词条；,2;36,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:123,Normal,（3）体育用品（32 词）：涵盖体育器材、运动服装、健身器材、体育用品制造等业态词条；,3;32,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:124,Normal,（4）体育培训（30 词）：涵盖体育培训、篮球培训、足球青训、体适能等业态词条；,4;30,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:125,Normal,（5）体育场馆（22 词）：涵盖体育场馆、游泳馆、羽毛球馆、场馆运营等业态词条；,5;22,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:126,Normal,（6）体育传媒（20 词）：涵盖体育传媒、赛事转播、体育直播、体育营销等业态词条；,6;20,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:127,Normal,（7）体育管理（23 词）：涵盖体育管理、体育组织、体育咨询、体育旅游等业态词条；,7;23,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:128,Normal,（8）电子竞技（18 词）：涵盖电子竞技、电竞俱乐部、电竞赛事、电竞教育等业态词条；,8;18,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:129,Normal,（9）体育彩票（7 词）：涵盖体育彩票、竞彩、体彩等业态词条。,9;7,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:131,Normal,图2-1 体育关键词命中频次TOP20（数据来源：本研究整理）,2;1;0,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:137,Normal,研究通过jieba.add_word()接口将大部分271条词条批量注册至分词器，同时开启长词优先匹配机制，优先匹配“电子竞技赛事”等长维度专业词条，避免短词拆分导致的语义割裂问题，有效保障分词结果的完整性与精确性。词典部署完成后，本研究对大部分76687条企业主要业务活动文本开展批量分词处理，文本处理速率可达6325条/秒，实现了大规模产业文本的高效精准分词。,271;76687;6325,performance,D,remove,当前材料未提供可复核的压力测试原始记录，因此不报告平台性能数值。
paragraph:138,Heading 2,2.3 行业代码映射体系,2.3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:139,Normal,为建立文本分析结果与行业分类体系之间的桥梁，本文构建了GB/T 4754-2017与体育产业的双层代码映射体系：,4754;2017,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:140,Normal,（1）第一层：直接体育代码（19个）——企业主营业务即为体育。,1;19,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:141,Normal,包括8911体育组织、8912体育社团、8919其他体育组织、8921体育场馆管理、8929其他体育场地设施管理、8930健身休闲活动、8392体校及体育培训、2441球类制造、2442体育器材及配件制造、2443训练健身器材制造、2444运动防护用具制造、2449其他体育用品制造、1821运动机织服装制造、1831运动针织服装制造、5142体育用品及器材批发、5242体育用品及器材零售、7121体育设备出租、4892体育场地设施工程施工。,8911;8912;8919;8921;8929;8930;8392;2441;2442;2443;2444;2449;1821;1831;5142;5242;7121;4892,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:142,Normal,（2）第二层：间接相关代码（17个）——部分企业可能涉及体育业务，需文本辅助确认。,2;17,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:143,Normal,包括8399其他未列明教育、8391职业技能培训、6513应用软件开发、6450互联网数据服务、7259其他广告服务、7251互联网广告服务、8720电视、7291旅行社及相关服务、7249其他专业咨询与调查等。,8399;8391;6513;6450;7259;7251;8720;7291;7249,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:145,Normal,图2-2 体育企业行业代码分布TOP15（数据来源：本研究整理）,2;2;5,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:147,Normal,（1）文本特征：token_count（分词后总词数）、keyword_count（TF-IDF关键词数量）、text_length（原始文本字符数）。这些特征反映了文本描述的详细程度，与业务复杂度正相关[19]。,1;19,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:148,Normal,（2）体育匹配特征：sport_keyword_count（命中的体育关键词数量）、sport_category_count（命中的不同业态种类数）、name_has_sport（企业名称中是否含体育词）。这些特征直接反映了体育业务的存在性和多样性。,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:149,Normal,（3）业务结构特征：total_business_lines（解析出的独立业务线总数）、sport_business_lines（被分类为体育的业务线数）。这两个特征通过业务线解析方法提取，反映了体育业务在企业经营范围中的覆盖面。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:150,Normal,（4）行业代码特征：code_type（直接/间接/无关），该特征通过行业代码映射体系生成，为后续的比重测算提供结构性先验信息。,4,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:151,Normal,表2-2 特征工程总览,2;2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:153,Heading 2,3.1 业务线解析方法,3.1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:156,Normal,图3-1 体育企业业务线结构分析示意图（数据来源：本研究整理）,3;1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:157,Normal,（1）步骤一——文本分割（Text Segmentation）。,1,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:158,Normal,"使用正则表达式r""[,;、/                ]+""识别常见业务分隔符（中文逗号、分号、顿号、斜杠、空白等），将文本拆分为独立的业务线列表。过滤长度小于2字符的无效片段，去除重复业务线保持顺序。经统计，76,687家企业共解析出约23万条业务线，平均每家企业约3条。","2;76,687;23;3",,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:159,Normal,（2）步骤二——逐线分类（逐行分类方法）。,2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:160,Normal,对每条业务线分别执行jieba分词，然后与体育词典进行精确匹配。若业务线中命中任意体育词典关键词，则将该条业务线标记为体育业务线，并根据命中关键词所属的业态类别（通过反向索引SPORT_WORD_TO_CATEGORY查询）确定该业务线的业态分类。同时记录命中的关键词列表和匹配得分（s)，即命中3个及以上关键词即为满分）。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:161,Normal,（3）步骤三——边界聚合（边界聚合方法）。,3,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:163,Heading 2,3.2 体育业务识别模型,3.2,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:166,Normal,（1）规则1（最高置信度为0.95）：行业代码为直接体育代码 且 文本命中体育关键词。该场景下，行业代码和文本分析均确认企业从事体育业务，识别结果高度可靠。,1;1;0.95,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:167,Normal,（2）规则2（高置信度为0.75）：行业代码为直接体育代码 但 文本未命中体育关键词。该场景下，行业代码明确指向体育，但文本描述较为简略或使用了非词典内的表述。,2;2;0.75,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:168,Normal,（3）规则3（中置信度为0.70）：行业代码为间接相关代码 且 文本命中体育关键词。该场景下，行业代码不能直接确认（如教育类代码），但文本提供了体育业务的明确证据——这正是跨界经营识别的主要场景。,3;3;0.70,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:169,Normal,（4）规则4（中置信度为0.60）：行业代码与体育无关 但 文本命中体育关键词。该场景为纯跨界经营发现，较为依赖文本分析能力，是传统行业代码方法难以有效覆盖的识别场景。,4;4;0.60,,D,recalculate,仅在与正式复算快照或经核验的权威来源一致时保留。
paragraph:170,Normal,输出判定：体育业务占比（SportRatio）>= 0.10的企业被判定为体育企业。该阈值经与直接体育代码企业的参数敏感性分析确定——阈值过低会导致大量噪声（非体育企业被误判），阈值过高会导致漏检（实际有体育业务但占比不高的企业被忽略）。10%的阈值在精确率（Precision）和召回率（Recall）之间取得了较好的平衡。,0.10;10%,evaluation,D,remove,当前工作区未提供逐条人工金标准、预测分数或标注者记录，不报告准确率、AUC、Kappa、Pearson相关系数等指标。
